order_item_id,order_id,product_id,quantity
201,95,20,2
202,96,3,4
203,96,21,3
204,96,27,4
205,97,5,1
206,98,10,4
207,99,4,2
208,100,5,3
209,100,13,4
210,100,15,2
211,101,21,4
212,101,4,4
213,102,2,3
214,102,23,2
215,103,15,3
216,103,8,1
217,104,12,3
218,104,18,1
219,104,29,4
220,105,7,4
221,105,4,1
222,106,7,1
223,106,21,1
224,106,20,3
225,107,5,2
226,108,27,2
227,109,7,2
228,109,27,3
229,109,28,2
230,110,1,2
231,110,9,2
232,110,28,3
233,111,4,1
234,112,1,3
235,113,19,3
236,114,6,3
237,115,5,4
238,116,4,4
239,116,24,4
240,116,3,3
241,117,19,2
242,117,4,1
243,117,15,3
244,118,21,1
245,118,1,4
246,119,14,1
247,119,22,4
248,120,30,1
249,120,15,3
250,120,3,2
251,121,5,3
252,122,21,3
253,122,19,4
254,122,18,3
255,123,17,4
256,123,20,1
257,124,4,2
258,124,28,4
259,124,21,4
260,125,14,3
261,126,13,1
262,126,14,3
263,127,11,3
264,127,22,3
265,128,22,4
266,129,3,1
267,130,14,1
268,131,24,2
269,131,12,1
270,131,26,3
271,132,4,4
272,132,14,1
273,132,12,3
274,133,10,2
275,133,12,2
276,133,4,4
277,134,28,1
278,135,28,3
279,135,18,1
280,136,19,4
281,136,8,1
282,137,30,3
283,137,22,1
284,137,27,2
285,138,23,3
286,138,25,3
287,139,1,2
288,139,6,4
289,140,5,1
290,141,24,2
291,142,14,3
292,142,15,2
293,143,10,3
294,143,24,1
295,144,5,2
296,145,2,3
297,145,22,4
298,145,3,4
299,146,20,4
300,146,15,3
301,147,25,1
302,148,14,3
303,148,4,4
304,149,22,2
305,149,10,4
306,149,2,1
307,150,7,3
308,151,25,2
309,152,10,1
310,152,11,1
311,153,24,2
312,153,14,2
313,154,18,2
314,154,23,3
315,155,13,1
316,156,1,1
317,156,15,3
318,157,14,4
319,157,19,3
320,157,13,1
321,158,1,2
322,158,11,4
323,159,30,4
324,159,12,1
325,159,3,2
326,160,19,1
327,160,13,4
328,161,24,2
329,161,11,3
330,162,3,1
331,163,17,3
332,163,7,3
333,163,29,2
334,164,4,2
335,165,7,2
336,165,6,1
337,166,25,4
338,167,25,4
339,167,19,3
340,168,11,1
341,168,5,4
342,168,15,4
343,169,10,1
344,169,26,3
345,169,9,1
346,170,15,1
347,170,2,3
348,171,3,1
349,171,21,4
350,172,19,1
351,172,18,4
352,173,21,4
353,173,7,2
354,173,11,1
355,174,4,3
356,174,26,1
357,175,21,2
358,175,6,4
359,175,2,4
360,176,17,3
361,176,20,3
362,176,6,3
363,177,14,3
364,177,25,1
365,178,21,3
366,178,11,1
367,178,3,4
368,179,9,2
369,179,24,3
370,180,19,2
371,181,10,4
372,181,21,2
373,182,23,4
374,182,3,3
375,182,10,2
376,183,23,1
377,183,27,4
378,183,24,3
379,184,12,3
380,185,7,3
381,186,7,2
382,186,8,2
383,187,10,1
384,188,25,1
385,188,18,3
386,188,27,2
387,189,13,2
388,189,5,2
389,189,6,4
390,190,14,3
391,191,24,3
392,191,8,4
393,191,15,2
394,192,8,4
395,192,10,2
396,192,26,3
397,193,19,3
398,193,15,4
399,193,25,4
400,194,27,2
401,195,5,1
402,195,28,4
403,195,9,3
404,196,30,1
405,196,4,3
406,196,23,1
407,197,9,4
408,198,5,1
409,198,27,2
410,198,14,4
411,199,30,4
412,199,1,1
413,200,17,2
414,200,12,4
